Year,Month,CPI
1378,4,7.653297678643321
1378,5,7.653297678643321
1378,6,7.758137372871312
1378,7,7.862977067099302
1378,8,7.862977067099302
1378,9,8.072656455555283
1378,10,8.177496149783272
1378,11,8.282335844011264
1378,12,8.492015232467246
1379,1,8.492015232467246
1379,2,8.492015232467246
1379,3,8.701694620923227
1379,4,8.596854926695235
1379,5,8.701694620923227
1379,6,8.701694620923227
1379,7,8.806534315151218
1379,8,8.911374009379209
1379,9,9.121053397835189
1379,10,9.121053397835189
1379,11,9.22589309206318
1379,12,9.435572480519161
1380,1,9.540412174747152
1380,2,9.540412174747152
1380,3,9.645251868975143
1380,4,9.645251868975143
1380,5,9.750091563203133
1380,6,9.750091563203133
1380,7,9.854931257431124
1380,8,9.854931257431124
1380,9,10.0646106458871
1380,10,10.16945034011509
1380,11,10.27429003434309
1380,12,10.48396942279907
1381,1,10.69364881125505
1381,2,10.79405482587452
1381,3,10.85208981593765
1381,4,11.04082626028017
1381,5,11.08454183824923
1381,6,11.09094307157674
1381,7,11.22305324040698
1381,8,11.27089304644103
1381,9,11.38918681684377
1381,10,11.53269112305078
1381,11,11.6268999443071
1381,12,11.65679949940189
1382,1,12.00512953456481
1382,2,12.0567224682331
1382,3,12.23437773275931
1382,4,12.56022900234055
1382,5,12.62012833819981
1382,6,12.61377149028953
1382,7,12.8931555085631
1382,8,13.02448528192355
1382,9,13.12183952946171
1382,10,13.26449572375798
1382,11,13.23335139315281
1382,12,13.28507670270309
1383,1,13.74017164854117
1383,2,13.82301376458143
1383,3,13.91672705780232
1383,4,14.29750381202812
1383,5,14.41919411837849
1383,6,14.5211097198017
1383,7,14.82852797326209
1383,8,14.90530682295266
1383,9,15.00132424900815
1383,10,15.1829182166083
1383,11,15.25100074366386
1383,12,15.36881350130543
1384,1,15.93651916575247
1384,2,15.75014996657606
1384,3,15.75475978862853
1384,4,15.97479063361889
1384,5,16.0279199614778
1384,6,16.06856742522687
1384,7,16.55408413834536
1384,8,16.66184064184735
1384,9,16.76118976874401
1384,10,16.93040152373592
1384,11,16.99880430790482
1384,12,17.05330490313586
1385,1,17.49102818367302
1385,2,17.54888891637078
1385,3,17.59632093953504
1385,4,18.12474589201694
1385,5,18.20750495478979
1385,6,18.36719687151624
1385,7,18.83954434431823
1385,8,18.93053515804629
1385,9,19.23930851218397
1385,10,19.60753041462582
1385,11,19.70160399531112
1385,12,19.73275486377318
1386,1,20.25249347298455
1386,2,20.23223096881693
1386,3,20.40881869252318
1386,4,21.06740211644176
